log_id,transaction_id,log_timestamp,category,message,severity
5001,1001,2023-01-01 08:45:23,Authentication,User authenticated successfully,INFO
5002,1001,2023-01-01 08:45:24,Validation,Amount validation passed,INFO
5003,1001,2023-01-01 08:45:25,Processing,Transaction processed successfully,INFO
5004,1002,2023-01-01 10:15:42,Authentication,Two-factor authentication required,INFO
5005,1002,2023-01-01 10:15:43,Authentication,Two-factor authentication successful,INFO
5006,1002,2023-01-01 10:15:44,Validation,Amount validation passed,INFO
5007,1002,2023-01-01 10:15:45,Processing,Transaction processed successfully,INFO
5008,1003,2023-01-01 12:30:15,Authentication,User authenticated successfully,INFO
5009,1003,2023-01-01 12:30:16,Validation,Additional security check required for amount > 4000,WARNING
5010,1003,2023-01-01 12:30:18,Authorization,Security check passed,INFO
5011,1003,2023-01-01 12:30:20,Processing,Transaction processed successfully,INFO
5012,1004,2023-01-01 14:20:30,Authentication,User authenticated successfully,INFO
5013,1004,2023-01-01 14:20:31,Validation,Amount validation passed,INFO
5014,1004,2023-01-01 14:20:32,Processing,Transaction processed successfully,INFO
5015,1005,2023-01-01 16:45:12,Authentication,User authenticated successfully,INFO
5016,1005,2023-01-01 16:45:13,Validation,Amount validation passed,INFO
5017,1005,2023-01-01 16:45:14,Processing,Transaction processed successfully,INFO
5018,1006,2023-01-02 09:10:45,Authentication,User authenticated successfully,INFO
5019,1006,2023-01-02 09:10:46,Validation,Additional security check required for amount > 10000,WARNING
5020,1006,2023-01-02 09:10:48,Authorization,Security check passed,INFO
5021,1006,2023-01-02 09:10:50,Processing,Transaction processed successfully,INFO
5022,1007,2023-01-02 11:25:33,Authentication,User authenticated successfully,INFO
5023,1007,2023-01-02 11:25:34,Validation,Amount validation passed,INFO
5024,1007,2023-01-02 11:25:35,Authorization,Unusual purchase pattern detected,WARNING
5025,1007,2023-01-02 11:25:36,Authorization,Transaction flagged for review,WARNING
5026,1007,2023-01-02 11:25:38,Processing,Transaction processed with fraud flag,ERROR
5027,1008,2023-01-02 13:40:21,Authentication,User authenticated successfully,INFO
5028,1008,2023-01-02 13:40:22,Validation,Amount validation passed,INFO
5029,1008,2023-01-02 13:40:23,Processing,Transaction processed successfully,INFO
5030,1009,2023-01-02 15:55:18,Authentication,User authenticated successfully,INFO
5031,1009,2023-01-02 15:55:19,Validation,Additional security check required for amount > 4000,WARNING
5032,1009,2023-01-02 15:55:21,Authorization,Security check passed,INFO
5033,1009,2023-01-02 15:55:23,Processing,Transaction processed successfully,INFO
5034,1010,2023-01-02 18:05:39,Authentication,User authenticated successfully,INFO
5035,1010,2023-01-02 18:05:40,Validation,Amount validation passed,INFO
5036,1010,2023-01-02 18:05:41,Processing,Transaction processed successfully,INFO
5037,1013,2023-01-03 12:15:25,Authentication,User authenticated successfully,INFO
5038,1013,2023-01-03 12:15:26,Validation,Amount validation passed,INFO
5039,1013,2023-01-03 12:15:27,Authorization,Unusual purchase pattern detected,WARNING
5040,1013,2023-01-03 12:15:28,Authorization,IP address mismatch detected,ERROR
5041,1013,2023-01-03 12:15:30,Processing,Transaction processed with fraud flag,ERROR
5042,1019,2023-01-04 15:25:15,Authentication,User authenticated successfully,INFO
5043,1019,2023-01-04 15:25:16,Validation,Amount validation passed,INFO
5044,1019,2023-01-04 15:25:17,Authorization,Device not recognized,WARNING
5045,1019,2023-01-04 15:25:18,Authorization,Multiple failed attempts detected,ERROR
5046,1019,2023-01-04 15:25:20,Processing,Transaction processed with fraud flag,ERROR
5047,1025,2023-01-05 18:20:15,Authentication,User authenticated successfully,INFO
5048,1025,2023-01-05 18:20:16,Validation,Amount validation passed,INFO
5049,1025,2023-01-05 18:20:17,Authorization,Unusual purchase location detected,WARNING
5050,1025,2023-01-05 18:20:18,Authorization,Transaction flagged for review,WARNING
